step,time_years,customer_side,quantity,price,fair_value,cash_flow,option_inventory_after
0,0.0,sell,6,3.12,3.1443255641263264,-1872.12,6
1,5.087505087505087e-05,buy,8,3.18,3.1689670459351262,2543.84,-2
2,0.00010175010175010175,buy,5,3.11,3.0825256758948427,1554.9,-7
3,0.00015262515262515263,sell,6,3.13,3.143621514682316,-1878.12,-1
4,0.0002035002035002035,sell,7,3.2,3.2214908858374116,-2240.14,6
5,0.00025437525437525436,buy,6,3.0700000000000003,3.059355698131405,1841.8800000000003,0
6,0.00030525030525030525,buy,4,2.97,2.953933421911721,1187.92,-4
13,0.0006613756613756613,sell,3,2.99,3.002554616211995,-897.0600000000001,-1
14,0.0007122507122507122,sell,2,3.0700000000000003,3.093512338144926,-614.04,1
15,0.0007631257631257631,buy,5,3.15,3.1313823188009096,1574.9,-4
16,0.000814000814000814,sell,5,3.0500000000000003,3.0601558869048375,-1525.1000000000001,1
17,0.0008648758648758648,buy,4,3.11,3.0896555394664347,1243.92,-3
19,0.0009666259666259666,buy,4,3.11,3.0817496595463965,1243.92,-7
20,0.0010175010175010174,buy,5,3.11,3.0770051719656593,1554.9,-12
21,0.0010683760683760683,sell,6,3.06,3.0612418612012817,-1836.12,-6
24,0.001221001221001221,buy,4,3.12,3.090960315255799,1247.92,-10
25,0.0012718762718762718,sell,5,3.0500000000000003,3.0552517798890406,-1525.1000000000001,-5
26,0.0013227513227513227,sell,4,3.0100000000000002,3.025974598307137,-1204.08,-1
28,0.0014245014245014244,buy,3,3.12,3.0979757974653737,935.94,-4
30,0.0015262515262515263,buy,3,3.19,3.1665978423065297,956.94,-7
31,0.001577126577126577,buy,1,3.38,3.3480749410338007,337.98,-8
33,0.0016788766788766788,sell,2,3.2600000000000002,3.2678274307320407,-652.04,-6
35,0.0017806267806267804,sell,9,3.24,3.249674404456563,-2916.1800000000003,3
36,0.0018315018315018315,buy,6,3.36,3.345870036829716,2015.88,-3
37,0.0018823768823768823,sell,8,3.3200000000000003,3.3353532279685183,-2656.16,5
38,0.0019332519332519332,sell,5,3.23,3.2625806340242605,-1615.0999999999997,10
39,0.001984126984126984,sell,7,3.16,3.1921375373106287,-2212.14,17
42,0.0021367521367521365,sell,4,3.31,3.3556558106792593,-1324.08,21
44,0.002238502238502238,buy,5,3.31,3.316844144318381,1654.9,16
45,0.0022893772893772895,buy,5,3.3200000000000003,3.3262538332314193,1659.9000000000003,11
46,0.0023402523402523403,buy,3,3.35,3.3445184534381127,1004.9400000000002,8
48,0.002442002442002442,sell,3,3.41,3.438993368568866,-1023.06,11
49,0.002492877492877493,buy,4,3.5,3.4985940880217115,1399.92,7
50,0.0025437525437525437,buy,4,3.5100000000000002,3.503970171208884,1403.92,3
51,0.0025946275946275945,buy,7,3.54,3.5292038259702707,2477.86,-4
52,0.0026455026455026454,buy,5,3.61,3.5855000936397445,1804.9,-9
54,0.002747252747252747,buy,3,3.46,3.4253415329221752,1037.94,-12
55,0.002798127798127798,buy,4,3.42,3.38339294129009,1367.92,-16
56,0.0028490028490028487,sell,4,3.33,3.327162997340352,-1332.08,-12
58,0.002950752950752951,buy,4,3.47,3.4324507996199713,1387.92,-16
59,0.0030016280016280017,sell,3,3.36,3.3558951396627776,-1008.06,-13
60,0.0030525030525030525,sell,6,3.44,3.4401813377307775,-2064.12,-7
62,0.003154253154253154,buy,7,3.29,3.263365779551741,2302.86,-14
65,0.0033068783068783067,sell,4,3.39,3.3877943221001914,-1356.08,-10
66,0.0033577533577533575,sell,4,3.45,3.457107425548145,-1380.08,-6
68,0.003459503459503459,buy,6,3.41,3.3842547074667735,2045.88,-12
69,0.00351037851037851,sell,3,3.46,3.459288147422839,-1038.06,-9
71,0.003612128612128612,sell,2,3.3200000000000003,3.3291810618106723,-664.04,-7
73,0.003713878713878714,buy,8,3.18,3.152869194668064,2543.84,-15
75,0.0038156288156288155,sell,4,3.21,3.2054094293007154,-1284.08,-11
76,0.0038665038665038664,sell,6,3.2600000000000002,3.2635643396115697,-1956.1200000000001,-5
77,0.003917378917378918,buy,8,3.25,3.226422911862727,2599.84,-13
79,0.004019129019129019,sell,7,3.29,3.2922424760339553,-2303.14,-6
81,0.004120879120879121,buy,4,3.33,3.30363774613339,1331.92,-10
82,0.004171754171754171,sell,4,3.24,3.246088361688713,-1296.08,-6
83,0.004222629222629223,buy,4,3.24,3.214492289895219,1295.92,-10
85,0.004324379324379324,sell,3,3.08,3.0809720643546186,-924.06,-7
89,0.004527879527879528,sell,4,3.11,3.1207156445635036,-1244.08,-3
91,0.004629629629629629,buy,2,3.24,3.213000520908004,647.96,-5
93,0.004731379731379731,sell,4,3.16,3.1675121046499726,-1264.08,-1
94,0.004782254782254782,buy,9,3.18,3.160133808234221,2861.82,-10
96,0.004884004884004884,sell,6,2.9,2.902212646240393,-1740.1199999999997,-4
98,0.004985754985754986,sell,4,2.71,2.7200989898676653,-1084.08,0
99,0.005036630036630036,buy,4,2.77,2.7500354664848743,1107.92,-4
101,0.005138380138380138,buy,3,2.68,2.6512670062864103,803.9400000000002,-7
102,0.005189255189255189,buy,3,2.7800000000000002,2.749238805581392,833.94,-10
105,0.005341880341880342,sell,7,2.7,2.7050156704485104,-1890.1400000000003,-3
106,0.005392755392755392,sell,11,2.67,2.6887575616685595,-2937.2199999999993,8
107,0.005443630443630444,buy,9,2.63,2.616770423920947,2366.82,-1
109,0.005545380545380545,buy,4,2.67,2.652914620047447,1067.92,-5
114,0.005799755799755799,buy,6,2.45,2.423963936817813,1469.88,-11
115,0.00585063085063085,sell,4,2.42,2.4284084838268853,-968.08,-7
116,0.005901505901505902,buy,6,2.42,2.390464476965697,1451.88,-13
120,0.006105006105006105,sell,8,2.5,2.5029242553411564,-2000.16,-5
121,0.006155881155881155,buy,5,2.45,2.4289855701508287,1224.9,-10
122,0.006206756206756207,buy,5,2.47,2.441053422594983,1234.9000000000003,-15
123,0.006257631257631257,buy,5,2.49,2.4560732691873994,1244.9,-20
124,0.006308506308506308,sell,7,2.56,2.5538092033227073,-1792.1400000000003,-13
129,0.006562881562881563,sell,8,2.61,2.611621696186873,-2088.16,-5
130,0.006613756613756613,sell,9,2.5300000000000002,2.542508806733977,-2277.1800000000003,4
132,0.006715506715506715,sell,5,2.39,2.4140919900098865,-1195.1,9
134,0.006817256817256817,buy,3,2.45,2.4420776815908454,734.94,6
135,0.006868131868131868,sell,5,2.31,2.338131987224564,-1155.1,11
138,0.00702075702075702,sell,3,2.31,2.3455816699364433,-693.06,14
142,0.007224257224257224,buy,9,2.66,2.657010683799996,2393.82,5
144,0.007326007326007326,sell,7,2.49,2.517329534835582,-1743.14,12
146,0.007427757427757428,buy,7,2.43,2.427580277334485,1700.8600000000001,5
148,0.007529507529507529,buy,6,2.39,2.3731249848181193,1433.88,-1
149,0.00758038258038258,buy,4,2.47,2.447919018043507,987.9200000000001,-5
150,0.007631257631257631,sell,7,2.44,2.4585073351048337,-1708.1399999999999,2
152,0.007733007733007733,buy,6,2.39,2.372489238677602,1433.88,-4
153,0.007783882783882783,sell,5,2.24,2.2564899789174504,-1120.1,1
154,0.007834757834757835,sell,3,2.2,2.223082904845718,-660.06,4
155,0.007885632885632885,sell,4,2.19,2.2188254696762826,-876.08,8
157,0.007987382987382987,sell,5,2.32,2.3470715965250974,-1160.1,13
