step,time_years,spot,log_return,realized_volatility,time_to_maturity,option_fair_value,option_bid,option_ask,option_mid,option_spread,option_delta,option_gamma,option_vega,option_theta,option_rho,option_inventory,stock_position,net_delta,hedge_error,option_cash,hedge_cash,cash,option_market_value,stock_market_value,gross_exposure,portfolio_value
0,0.0,100.00000000000004,0.0,0.047482541248099884,0.11904761904761904,3.1443255641263264,3.12,3.16,3.14,0.040000000000000036,0.527632635225728,0.05243044839185027,13.731784102627467,-13.680547269996707,5.907016423624582,6,-316.5795811354368,0.0,0.0,-1872.12,31656.375215638014,29784.255215638015,1886.5953384757959,-31657.958113543693,33544.55345201949,12.892440570118197
1,5.087505087505087e-05,100.04790770755241,0.00047896235474053554,0.047482541248099884,0.118996743996744,3.1689670459351262,3.14,3.18,3.16,0.040000000000000036,0.5301379341637783,0.05239263190773543,13.72916093960971,-13.68857276566038,5.934394285951123,-2,106.02758683275567,1.4210854715202004e-14,1.4210854715202004e-14,671.7200000000003,-10626.701769940672,-9954.98176994067,-633.7934091870252,10607.838221898039,11241.631631085063,19.0630427703436
2,0.00010175010175010175,99.8848498596535,-0.001631127245333589,0.15509318543725392,0.11894586894586893,3.0825256758948427,3.0700000000000003,3.11,3.09,0.03999999999999959,0.5215744468749769,0.05256266834853676,13.722988221287004,-13.671185222131644,5.830115071239996,-7,365.1021128124838,0.0,0.0,2226.6200000000003,-36505.61578089322,-34278.995780893216,-2157.7679731263897,36468.16972171722,38625.93769484361,31.405967697610322
3,0.00015262515262515263,100.00262386451018,0.0011784031914671875,0.16742866695455286,0.11889499389499389,3.143621514682316,3.13,3.17,3.15,0.040000000000000036,0.5277526002830749,0.052461614848014565,13.723051549783733,-13.6890375037586,5.901117998075514,-1,52.775260028307514,2.1316282072803006e-14,2.1316282072803006e-14,348.50000000000045,-5273.672674370078,-4925.172674370078,-314.36215146823156,5277.664477962556,5592.026629430788,38.129652124245695
4,0.0002035002035002035,100.15040954559258,0.0014767271364427863,0.1718171577755335,0.11884411884411884,3.2214908858374116,3.2,3.24,3.22,0.040000000000000036,0.5354900108956901,0.052314583396808924,13.71919427727382,-13.706402968884806,5.9907006429704595,6,-321.2940065374141,0.0,0.0,-1891.6399999999994,32187.64441109413,30296.00441109413,1932.894531502447,-32177.72633926632,34110.62087076877,51.172603330258426
5,0.00025437525437525436,99.84434400336184,-0.003060738101751706,0.24623352681544267,0.11879324379324378,3.059355698131405,3.0300000000000002,3.0700000000000003,3.0500000000000003,0.040000000000000036,0.5194216479686183,0.052632378435128566,13.712427808043445,-13.673453682332585,5.797342894809138,0,0.0,0.0,0.0,-49.75999999999908,106.65112668842266,56.89112668842358,0.0,0.0,0.0,56.89112668842358
6,0.00030525030525030525,99.64061395209866,-0.002042561245542364,0.24382780224183442,0.11874236874236874,2.953933421911721,2.93,2.97,2.95,0.040000000000000036,0.5086721801891974,0.052801408734725566,13.694516019212891,-13.640871176099612,5.667629652307559,-4,203.46887207567895,0.0,0.0,1138.160000000001,-20168.125895239937,-19029.965895239937,-1181.5733687646884,20273.76333376167,21455.33670252636,62.22406975704507
7,0.0003561253561253561,99.66068454074365,0.0002014095127787979,0.22851158868741048,0.11869149369149369,2.9634591589214594,2.95,2.99,2.97,0.040000000000000036,0.5097220495491739,0.05279888332167391,13.693508804608758,-13.647481749762328,5.6777012749863625,-4,203.46887207567895,-0.41994774399060475,-0.41994774399060475,1138.160000000001,-20168.125895239937,-19029.965895239937,-1185.3836635685839,20277.847073795165,21463.23073736375,62.49751498664409
8,0.000407000407000407,99.61132084026494,-0.0004954404046278943,0.21377846239335627,0.11864061864061863,2.9376678452521574,2.92,2.96,2.94,0.040000000000000036,0.5071045549923867,0.05284368694529531,13.68568665397633,-13.640469246395293,5.6444089001637,-4,203.46887207567895,0.6270500787242668,0.6270500787242668,1138.160000000001,-20168.125895239937,-19029.965895239937,-1175.0671381008628,20267.803097337277,21442.87023543814,62.77006399647871
9,0.0004578754578754579,99.6087747718946,-2.5560356877233327e-05,0.20235896593786384,0.11858974358974358,2.935682891199292,2.92,2.96,2.94,0.040000000000000036,0.5069596647224414,0.052856710171690226,13.682489894849823,-13.642672833445145,5.640359238176994,-4,203.46887207567895,0.6850061867023953,0.6850061867023953,1138.160000000001,-20168.125895239937,-19029.965895239937,-1174.2731564797168,20267.28505167774,21441.558208157458,63.045999958085304
